tag,url,description
dipeptides-300K-amber99,https://github.com/graeter-group/grappa/releases/download/v.1.2.0/dipeptides-300K-amber99.zip,
dipeptides-1000K-amber99,https://github.com/graeter-group/grappa/releases/download/v.1.2.0/dipeptides-1000K-amber99.zip,
uncapped-300K-amber99,https://github.com/graeter-group/grappa/releases/download/v.1.2.0/uncapped-300K-amber99.zip,
dipeptides-hyp-dop-300K-amber99,https://github.com/graeter-group/grappa/releases/download/v.1.2.0/dipeptides-hyp-dop-300K-amber99.zip,
dipeptides-radical-300K,https://github.com/graeter-group/grappa/releases/download/v.1.2.0/dipeptides-radical-300K.zip,
bondbreak-radical-peptides-300K,https://github.com/graeter-group/grappa/releases/download/v.1.2.0/bondbreak-radical-peptides-300K.zip,
dipeptides-300K-openff-1.2.0,https://github.com/graeter-group/grappa/releases/download/v.1.2.0/dipeptides-300K-openff-1.2.0.zip,
dipeptides-1000K-openff-1.2.0,https://github.com/graeter-group/grappa/releases/download/v.1.2.0/dipeptides-1000K-openff-1.2.0.zip,
uncapped-300K-openff-1.2.0,https://github.com/graeter-group/grappa/releases/download/v.1.2.0/uncapped-300K-openff-1.2.0.zip,
dipeptides-300K-charmm_nonb,https://github.com/graeter-group/grappa/releases/download/v.1.2.0/dipeptides-300K-charmm_nonb.zip,
dipeptides-1000K-charmm_nonbespaloma_split,https://github.com/graeter-group/grappa/releases/download/v.1.2.0/dipeptides-1000K-charmm_nonbespaloma_split.zip,
spice-pubchem,https://github.com/graeter-group/grappa/releases/download/v.1.2.0/spice-pubchem.zip,
rna-nucleoside,https://github.com/graeter-group/grappa/releases/download/v.1.2.0/rna-nucleoside.zip,
gen2,https://github.com/graeter-group/grappa/releases/download/v.1.2.0/gen2.zip,
spice-des-monomers,https://github.com/graeter-group/grappa/releases/download/v.1.2.0/spice-des-monomers.zip,
spice-dipeptide,https://github.com/graeter-group/grappa/releases/download/v.1.2.0/spice-dipeptide.zip,
rna-diverse,https://github.com/graeter-group/grappa/releases/download/v.1.2.0/rna-diverse.zip,
gen2-torsion,https://github.com/graeter-group/grappa/releases/download/v.1.2.0/gen2-torsion.zip,
pepconf-dlc,https://github.com/graeter-group/grappa/releases/download/v.1.2.0/pepconf-dlc.zip,
protein-torsion,https://github.com/graeter-group/grappa/releases/download/v.1.2.0/protein-torsion.zip,
rna-trinucleotide,https://github.com/graeter-group/grappa/releases/download/v.1.2.0/rna-trinucleotide.zip,
